SupplierID,CompanyName,ContactName,ContactTitle,City,Region,Country
1,"Exotic Liquids","Charlotte Cooper","Purchasing Manager",London,#NA,UK
2,"New Orleans Cajun Delights","Shelley Burke","Order Administrator","New Orleans",LA,USA
3,"Grandma Kelly's Homestead","Regina Murphy","Sales Representative","Ann Arbor",MI,USA
4,"Tokyo Traders","Yoshi Nagase","Marketing Manager",Tokyo,#NA,Japan
5,"Cooperativa de Quesos 'Las Cabras'","Antonio del Valle Saavedra ","Export Administrator",Oviedo,Asturias,Spain
6,Mayumi's,"Mayumi Ohno","Marketing Representative",Osaka,#NA,Japan
7,"Pavlova, Ltd.","Ian Devling","Marketing Manager",Melbourne,Victoria,Australia
8,"Specialty Biscuits, Ltd.","Peter Wilson","Sales Representative",Manchester,#NA,UK
9,"PB Knäckebröd AB","Lars Peterson","Sales Agent",Göteborg,#NA,"Sweden "
10,"Refrescos Americanas LTDA","Carlos Diaz","Marketing Manager","São Paulo",#NA,Brazil
11,"Heli Süßwaren GmbH & Co. KG","Petra Winkler","Sales Manager",Berlin,#NA,Germany
12,"Plutzer Lebensmittelgroßmärkte AG","Martin Bein","International Marketing Mgr.",Frankfurt,#NA,Germany
13,"Nord-Ost-Fisch Handelsgesellschaft mbH","Sven Petersen","Coordinator Foreign Markets",Cuxhaven,#NA,Germany
14,"Formaggi Fortini s.r.l.","Elio Rossi","Sales Representative",Ravenna,#NA,Italy
15,"Norske Meierier","Beate Vileid","Marketing Manager",Sandvika,#NA,Norway
16,"Bigfoot Breweries","Cheryl Saylor","Regional Account Rep.",Bend,OR,USA
17,"Svensk Sjöföda AB","Michael Björn","Sales Representative",Stockholm,#NA,Sweden
18,"Aux joyeux ecclésiastiques","Guylène Nodier","Sales Manager",Paris,#NA,France
19,"New England Seafood Cannery","Robb Merchant","Wholesale Account Agent",Boston,MA,USA
20,"Leka Trading","Chandra Leka",Owner,Singapore,#NA,Singapore
21,Lyngbysild,"Niels Petersen","Sales Manager",Lyngby,#NA,Denmark
22,"Zaanse Snoepfabriek","Dirk Luchte","Accounting Manager",Zaandam,#NA,Netherlands
23,"Karkki Oy","Anne Heikkonen","Product Manager",Lappeenranta,#NA,Finland
24,"G'day, Mate","Wendy Mackenzie","Sales Representative",Sydney,NSW,Australia
25,"Ma Maison","Jean-Guy Lauzon","Marketing Manager",Montréal,Québec,Canada
26,"Pasta Buttini s.r.l.","Giovanni Giudici","Order Administrator",Salerno,#NA,Italy
27,"Escargots Nouveaux","Marie Delamare","Sales Manager",Montceau,#NA,France
28,"Gai pâturage","Eliane Noz","Sales Representative",Annecy,#NA,France
29,"Forêts d'érables","Chantal Goulet","Accounting Manager",Ste-Hyacinthe,Québec,Canada
